net,length_um
cpuregs\[30\]\[14\],12.09µm
_02992_,12.08µm
_03234_,12.08µm
cpuregs\[20\]\[17\],12.08µm
cpuregs\[15\]\[8\],12.06µm
_00251_,12.045µm
_04270_,12.04µm
_04441_,12.04µm
reg_next_pc\[27\],12.04µm
net1408,12.04µm
net2234,12.04µm
_00469_,12.035µm
_04148_,12.02µm
_02024_,12µm
cpuregs\[0\]\[29\],12µm
_02589_,11.98µm
_04387_,11.98µm
net1407,11.98µm
cpuregs\[30\]\[28\],11.97µm
_02143_,11.965µm
_02757_,11.965µm
_03309_,11.96µm
_03966_,11.96µm
cpuregs\[12\]\[24\],11.96µm
cpuregs\[19\]\[12\],11.96µm
cpuregs\[21\]\[5\],11.96µm
cpuregs\[28\]\[31\],11.96µm
cpuregs\[31\]\[18\],11.96µm
cpuregs\[31\]\[20\],11.96µm
cpuregs\[9\]\[14\],11.96µm
_00951_,11.945µm
_02512_,11.94µm
_03286_,11.94µm
net1948,11.94µm
net2012,11.94µm
net2060,11.94µm
cpuregs\[7\]\[10\],11.925µm
_03393_,11.92µm
cpuregs\[20\]\[18\],11.92µm
reg_next_pc\[18\],11.92µm
_01387_,11.905µm
net1415,11.9µm
_01987_,11.88µm
_02392_,11.88µm
cpuregs\[23\]\[28\],11.88µm
cpuregs\[28\]\[11\],11.88µm
cpuregs\[31\]\[1\],11.88µm
_00165_,11.865µm
cpuregs\[9\]\[30\],11.86µm
_00112_,11.855µm
_01112_,11.845µm
_02170_,11.84µm
_02835_,11.84µm
_04575_,11.84µm
cpuregs\[0\]\[19\],11.84µm
cpuregs\[31\]\[3\],11.84µm
cpuregs\[9\]\[15\],11.84µm
_03303_,11.82µm
reg_out\[2\],11.82µm
_01114_,11.8µm
_03876_,11.8µm
_01891_,11.78µm
_02573_,11.78µm
_03184_,11.78µm
_04682_,11.78µm
net1758,11.78µm
_04126_,11.77µm
_00918_,11.765µm
_02085_,11.76µm
_02153_,11.76µm
cpuregs\[17\]\[25\],11.76µm
_02102_,11.74µm
_03050_,11.74µm
_04649_,11.74µm
cpuregs\[24\]\[4\],11.74µm
cpuregs\[5\]\[7\],11.74µm
cpuregs\[6\]\[25\],11.715µm
mem_instr,11.71µm
_00818_,11.705µm
_02752_,11.7µm
_02857_,11.7µm
_03545_,11.7µm
_04184_,11.7µm
_04493_,11.7µm
cpuregs\[13\]\[5\],11.7µm
cpuregs\[5\]\[14\],11.7µm
mem_addr[2],11.7µm
pcpi_rs2[2],11.7µm
_00049_,11.685µm
_00249_,11.685µm
_03738_,11.68µm
latched_branch,11.68µm
mem_la_addr[24],11.68µm
pcpi_rs1[23],11.68µm
pcpi_rs1[25],11.68µm
pcpi_rs1[28],11.68µm
pcpi_rs2[16],11.68µm
pcpi_rs2[29],11.68µm
pcpi_rs2[30],11.68µm
pcpi_rs2[6],11.68µm
_02801_,11.675µm
_00502_,11.665µm
_04043_,11.66µm
_04852_,11.66µm
_04859_,11.66µm
net2059,11.66µm
mem_addr[20],11.65µm
mem_addr[28],11.65µm
_03219_,11.64µm
net1413,11.62µm
_00150_,11.6µm
_03198_,11.6µm
count_cycle\[41\],11.6µm
_01086_,11.585µm
_01102_,11.585µm
_03067_,11.58µm
_03555_,11.58µm
_04326_,11.58µm
reg_out\[11\],11.58µm
net228,11.58µm
net1665,11.58µm
net1691,11.58µm
net1768,11.58µm
net2010,11.58µm
_01593_,11.56µm
_02343_,11.56µm
_03230_,11.56µm
_04796_,11.56µm
net1297,11.56µm
_01723_,11.54µm
_02878_,11.54µm
cpuregs\[13\]\[3\],11.54µm
cpuregs\[25\]\[22\],11.54µm
cpuregs\[27\]\[26\],11.54µm
cpuregs\[27\]\[7\],11.54µm
reg_next_pc\[25\],11.54µm
_01235_,11.525µm
net1494,11.52µm
_01832_,11.5µm
_04287_,11.5µm
count_cycle\[24\],11.5µm
cpuregs\[21\]\[24\],11.5µm
cpuregs\[3\]\[6\],11.5µm
_02519_,11.48µm
net1348,11.48µm
net1521,11.48µm
net2165,11.48µm
_03461_,11.46µm
_04198_,11.46µm
net140,11.46µm
net144,11.46µm
_01679_,11.44µm
_04142_,11.44µm
net1023,11.44µm
net1026,11.44µm
net1027,11.44µm
net1030,11.44µm
net1008,11.44µm
net1010,11.44µm
net1055,11.44µm
net1067,11.44µm
net1068,11.44µm
net1070,11.44µm
net1044,11.44µm
net1047,11.44µm
net1072,11.44µm
net1084,11.44µm
net1096,11.44µm
net1097,11.44µm
net1100,11.44µm
net1075,11.44µm
net1107,11.44µm
net1077,11.44µm
cpuregs\[30\]\[12\],11.43µm
cpuregs\[5\]\[1\],11.42µm
net1814,11.42µm
_00942_,11.405µm
net1958,11.4µm
_00885_,11.385µm
_02974_,11.38µm
cpuregs\[31\]\[7\],11.38µm
_03765_,11.36µm
_03973_,11.36µm
net1666,11.36µm
_00317_,11.345µm
_01564_,11.34µm
_02100_,11.34µm
_03367_,11.34µm
_03549_,11.34µm
net1716,11.34µm
net2163,11.34µm
_01244_,11.335µm
cpuregs\[18\]\[14\],11.33µm
_03793_,11.325µm
reg_out\[10\],11.32µm
cpuregs\[10\]\[9\],11.315µm
_02281_,11.3µm
_02868_,11.3µm
_03518_,11.3µm
count_cycle\[15\],11.3µm
cpuregs\[23\]\[14\],11.3µm
net1339,11.3µm
_01289_,11.285µm
_01510_,11.285µm
_03414_,11.28µm
_04339_,11.28µm
cpuregs\[17\]\[0\],11.28µm
cpuregs\[20\]\[9\],11.28µm
net2284,11.28µm
mem_la_wdata[26],11.27µm
mem_wdata[16],11.27µm
net1210,11.26µm
_01293_,11.255µm
_00545_,11.245µm
_01003_,11.245µm
_03008_,11.24µm
_03437_,11.24µm
_04072_,11.24µm
_04181_,11.24µm
_04603_,11.24µm
net150,11.24µm
_03253_,11.22µm
mem_addr[12],11.22µm
mem_addr[15],11.22µm
net1042,11.21µm
_01209_,11.205µm
_01668_,11.2µm
_01848_,11.2µm
_02936_,11.2µm
_04138_,11.2µm
_04836_,11.2µm
cpuregs\[4\]\[7\],11.2µm
cpuregs\[5\]\[31\],11.2µm
reg_out\[27\],11.2µm
net79,11.2µm
net1112,11.2µm
net1974,11.2µm
net1011,11.19µm
_01494_,11.185µm
_01607_,11.18µm
_04144_,11.18µm
_04776_,11.18µm
_04813_,11.17µm
mem_addr[27],11.17µm
_03055_,11.16µm
net1646,11.16µm
_03085_,11.14µm
net1277,11.14µm
cpuregs\[23\]\[9\],11.13µm
_03370_,11.12µm
_03612_,11.12µm
_04238_,11.12µm
net136,11.12µm
net2125,11.12µm
_01113_,11.115µm
mem_addr[19],11.11µm
_04583_,11.09µm
_00356_,11.085µm
_00418_,11.085µm
_00912_,11.085µm
_02211_,11.08µm
_02462_,11.08µm
_04745_,11.08µm
cpu_state\[0\],11.08µm
reg_next_pc\[8\],11.08µm
net1540,11.08µm
_00413_,11.065µm
_01819_,11.06µm
net1787,11.06µm
_02549_,11.04µm
_03065_,11.04µm
_03206_,11.04µm
_04229_,11.04µm
cpuregs\[0\]\[16\],11.04µm
net1670,11.04µm
net2199,11.04µm
mem_wdata[13],11.03µm
_03029_,11.02µm
_04480_,11.02µm
_04778_,11.02µm
net1838,11.02µm
net2100,11.02µm
_01035_,11.005µm
_02197_,11µm
_03025_,11µm
_04116_,11µm
_04598_,10.98µm
net1398,10.98µm
net1947,10.98µm
_04466_,10.975µm
_00318_,10.965µm
cpuregs\[2\]\[29\],10.965µm
_01548_,10.96µm
_01583_,10.96µm
_01585_,10.96µm
_04113_,10.96µm
cpuregs\[1\]\[7\],10.96µm
_04636_,10.94µm
_02151_,10.92µm
_02787_,10.92µm
net103,10.92µm
mem_rdata[5],10.91µm
_01303_,10.905µm
_04373_,10.905µm
_03071_,10.9µm
net1537,10.9µm
net1893,10.9µm
cpuregs\[30\]\[1\],10.895µm
reg_next_pc\[22\],10.88µm
net2018,10.88µm
_04044_,10.87µm
cpuregs\[18\]\[15\],10.87µm
_03021_,10.86µm
_03388_,10.86µm
_04613_,10.86µm
net1774,10.86µm
_02171_,10.845µm
_01638_,10.84µm
_02130_,10.84µm
_00342_,10.825µm
_04429_,10.82µm
_04664_,10.82µm
net1915,10.82µm
_03490_,10.8µm
_03560_,10.8µm
_04433_,10.8µm
net2090,10.8µm
net2139,10.8µm
pcpi_rs2[11],10.79µm
_02717_,10.78µm
_02792_,10.78µm
_04369_,10.78µm
_04507_,10.78µm
cpuregs\[5\]\[12\],10.78µm
net1842,10.78µm
net2112,10.78µm
_00523_,10.765µm
_02320_,10.76µm
mem_addr[10],10.76µm
pcpi_rs2[26],10.76µm
_02030_,10.75µm
_01193_,10.745µm
_00580_,10.74µm
_02751_,10.74µm
_04454_,10.74µm
cpuregs\[13\]\[22\],10.74µm
cpuregs\[3\]\[5\],10.74µm
instr_lbu,10.74µm
_01702_,10.72µm
_02732_,10.72µm
_03404_,10.72µm
cpuregs\[19\]\[19\],10.72µm
net1187,10.72µm
_00932_,10.705µm
_02301_,10.7µm
_02342_,10.7µm
_02532_,10.7µm
_03066_,10.7µm
_04451_,10.7µm
net41,10.7µm
net44,10.7µm
net1692,10.7µm
net1702,10.7µm
net2028,10.7µm
_03991_,10.69µm
_03476_,10.68µm
_03504_,10.68µm
_03778_,10.68µm
_02108_,10.66µm
_02220_,10.66µm
_04026_,10.66µm
reg_out\[6\],10.66µm
net1464,10.66µm
net1754,10.66µm
net2232,10.66µm
_00383_,10.64µm
_02304_,10.64µm
_04231_,10.63µm
_00548_,10.625µm
_03849_,10.62µm
cpuregs\[0\]\[30\],10.62µm
cpuregs\[0\]\[7\],10.62µm
cpuregs\[11\]\[21\],10.62µm
net1127,10.62µm
_00467_,10.605µm
_03229_,10.6µm
_03287_,10.6µm
net2044,10.6µm
net157,10.58µm
net1103,10.57µm
_00362_,10.565µm
_01489_,10.565µm
net1729,10.56µm
net1789,10.56µm
net1860,10.56µm
_02516_,10.55µm
_04289_,10.55µm
_03193_,10.54µm
_03245_,10.54µm
_03297_,10.54µm
_03861_,10.54µm
net1885,10.54µm
net2021,10.54µm
net1073,10.53µm
_03877_,10.52µm
_04333_,10.52µm
_01996_,10.515µm
mem_la_wdata[30],10.51µm
_00417_,10.505µm
_01772_,10.5µm
_02027_,10.5µm
_03454_,10.5µm
_03954_,10.5µm
_04495_,10.5µm
reg_next_pc\[15\],10.5µm
reg_next_pc\[5\],10.5µm
_00025_,10.485µm
_03972_,10.48µm
_04711_,10.48µm
_00938_,10.465µm
_01814_,10.46µm
net1536,10.46µm
_02995_,10.44µm
_03810_,10.44µm
_04459_,10.44µm
_01083_,10.425µm
_03643_,10.42µm
_03999_,10.42µm
_01651_,10.4µm
_02861_,10.4µm
_03009_,10.4µm
_03364_,10.4µm
_04704_,10.4µm
_02150_,10.38µm
_02815_,10.38µm
mem_la_wdata[14],10.37µm
_01361_,10.365µm
_01861_,10.36µm
_04321_,10.36µm
_04837_,10.36µm
cpuregs\[17\]\[21\],10.36µm
cpuregs\[25\]\[20\],10.36µm
_03047_,10.34µm
cpuregs\[1\]\[25\],10.34µm
cpuregs\[5\]\[0\],10.34µm
reg_sh\[2\],10.34µm
net1243,10.34µm
_00260_,10.325µm
_01216_,10.325µm
_01275_,10.325µm
_01524_,10.325µm
_02771_,10.32µm
_03002_,10.32µm
_04194_,10.32µm
decoded_rd\[0\],10.32µm
net2141,10.32µm
mem_wdata[8],10.31µm
_03535_,10.3µm
_00183_,10.285µm
_00259_,10.285µm
_04342_,10.28µm
mem_la_wdata[18],10.25µm
_00765_,10.245µm
_04097_,10.24µm
_03101_,10.22µm
net1621,10.22µm
_00416_,10.205µm
_02523_,10.2µm
_03631_,10.2µm
_03933_,10.2µm
_03405_,10.19µm
_00939_,10.18µm
net2009,10.18µm
net2118,10.18µm
pcpi_rs2[9],10.17µm
_03300_,10.16µm
_03511_,10.16µm
_04267_,10.16µm
cpuregs\[10\]\[23\],10.16µm
cpuregs\[1\]\[5\],10.16µm
net174,10.16µm
_01228_,10.145µm
_01373_,10.145µm
_00494_,10.14µm
_03895_,10.14µm
_04136_,10.14µm
_03274_,10.13µm
_00872_,10.125µm
_02395_,10.12µm
_02686_,10.12µm
cpuregs\[13\]\[26\],10.12µm
cpuregs\[17\]\[10\],10.12µm
cpuregs\[8\]\[5\],10.12µm
net2188,10.12µm
_01091_,10.105µm
_03337_,10.1µm
_04237_,10.1µm
_04355_,10.1µm
net1597,10.1µm
net1944,10.1µm
net1977,10.1µm
net101,10.08µm
_00190_,10.065µm
_00427_,10.065µm
_00468_,10.065µm
_01208_,10.065µm
_03471_,10.065µm
count_cycle\[60\],10.06µm
_00415_,10.045µm
_01655_,10.04µm
_01810_,10.04µm
_02200_,10.04µm
_04035_,10.04µm
cpuregs\[8\]\[29\],10.04µm
net2237,10.04µm
_03188_,10.02µm
net1498,10.02µm
net2097,10.02µm
_00261_,10.005µm
alu_out\[22\],10.005µm
_00516_,10µm
_03014_,10µm
_03812_,10µm
_04076_,10µm
net1588,10µm
_00465_,9.985µm
_00491_,9.985µm
_01392_,9.985µm
_01746_,9.98µm
_03032_,9.98µm
_03155_,9.98µm
_04494_,9.98µm
net1213,9.98µm
_01558_,9.96µm
_02689_,9.96µm
_02883_,9.96µm
instr_fence,9.96µm
net1682,9.96µm
_01867_,9.94µm
_02578_,9.94µm
_03614_,9.94µm
_04364_,9.94µm
_04633_,9.94µm
_04687_,9.94µm
alu_out_q\[11\],9.94µm
net52,9.94µm
_01535_,9.925µm
_01838_,9.92µm
_02165_,9.92µm
mem_la_addr[13],9.91µm
mem_la_wdata[20],9.91µm
_01310_,9.905µm
_02937_,9.9µm
_04353_,9.9µm
_04508_,9.9µm
cpuregs\[9\]\[22\],9.9µm
net2186,9.9µm
mem_la_addr[30],9.89µm
_02886_,9.88µm
_03466_,9.88µm
_04570_,9.88µm
_02899_,9.87µm
_01135_,9.865µm
_02942_,9.86µm
_03034_,9.86µm
_03075_,9.86µm
_03882_,9.86µm
_01967_,9.84µm
_03186_,9.84µm
_00061_,9.825µm
_01695_,9.82µm
_03828_,9.82µm
_04119_,9.82µm
_04131_,9.82µm
cpuregs\[28\]\[25\],9.82µm
cpuregs\[4\]\[1\],9.82µm
net1380,9.82µm
_00298_,9.815µm
_02644_,9.8µm
_03170_,9.795µm
_03452_,9.79µm
_01574_,9.78µm
_01712_,9.78µm
_02765_,9.78µm
_03488_,9.78µm
_04263_,9.78µm
_04390_,9.78µm
_04464_,9.78µm
net1131,9.78µm
net1283,9.78µm
net1731,9.78µm
net2137,9.78µm
net2191,9.78µm
_00923_,9.775µm
_01705_,9.76µm
net1240,9.76µm
net1269,9.76µm
net1503,9.76µm
net1736,9.76µm
_00040_,9.745µm
_01547_,9.74µm
_01701_,9.74µm
_04010_,9.74µm
_04170_,9.74µm
net155,9.74µm
net1956,9.74µm
_01719_,9.725µm
_03336_,9.72µm
net1605,9.72µm
net2160,9.72µm
_01893_,9.7µm
_02750_,9.7µm
_03180_,9.7µm
_03656_,9.7µm
_03892_,9.7µm
_04299_,9.7µm
_01180_,9.695µm
_00310_,9.685µm
_04439_,9.68µm
_04543_,9.68µm
_04781_,9.68µm
_01927_,9.66µm
_04779_,9.66µm
cpuregs\[31\]\[24\],9.66µm
cpuregs\[3\]\[8\],9.66µm
net2367,9.66µm
_01448_,9.645µm
_04323_,9.64µm
_04647_,9.64µm
net1438,9.64µm
net1864,9.64µm
net2023,9.64µm
net2262,9.64µm
_00517_,9.635µm
_04816_,9.62µm
_00299_,9.605µm
_00493_,9.605µm
_00556_,9.605µm
is_sltiu_bltu_sltu,9.6µm
_02893_,9.58µm
_04001_,9.58µm
net1972,9.58µm
net2133,9.56µm
net2209,9.56µm
mem_la_addr[28],9.55µm
pcpi_rs1[20],9.55µm
_03729_,9.54µm
_04344_,9.54µm
_04606_,9.54µm
cpuregs\[19\]\[18\],9.54µm
cpuregs\[8\]\[15\],9.54µm
_01219_,9.525µm
_01716_,9.52µm
_02375_,9.52µm
_02777_,9.52µm
_02914_,9.52µm
_04707_,9.52µm
net1159,9.52µm
net1310,9.52µm
net2170,9.52µm
net2338,9.52µm
_01648_,9.5µm
_02239_,9.5µm
_04172_,9.5µm
mem_rdata[0],9.49µm
_02720_,9.48µm
_02795_,9.48µm
net2213,9.48µm
_01841_,9.46µm
_01926_,9.46µm
_03784_,9.46µm
_04735_,9.46µm
_02277_,9.45µm
_00357_,9.445µm
_01188_,9.445µm
_03262_,9.44µm
_03283_,9.44µm
_03513_,9.44µm
_03663_,9.44µm
_04678_,9.44µm
_04856_,9.44µm
net154,9.44µm
mem_ready,9.43µm
_04399_,9.42µm
_04708_,9.42µm
_04792_,9.42µm
mem_wdata[3],9.42µm
pcpi_rs2[5],9.42µm
net2050,9.42µm
mem_wstrb[3],9.41µm
_00047_,9.405µm
_01805_,9.4µm
_00865_,9.385µm
_01053_,9.365µm
_01440_,9.365µm
_01609_,9.36µm
_04186_,9.36µm
_04788_,9.36µm
net2092,9.36µm
_02007_,9.34µm
_04305_,9.34µm
cpuregs\[29\]\[6\],9.34µm
instr_slt,9.34µm
mem_addr[29],9.33µm
_02204_,9.32µm
_04405_,9.32µm
net1341,9.3µm
net2276,9.3µm
_03211_,9.28µm
net166,9.28µm
net1221,9.28µm
net1431,9.28µm
net1858,9.28µm
net2246,9.28µm
_02954_,9.26µm
_04609_,9.26µm
net1450,9.26µm
_01236_,9.255µm
_04673_,9.255µm
cpuregs\[26\]\[28\],9.25µm
_00137_,9.245µm
_01393_,9.245µm
_03670_,9.24µm
_03779_,9.24µm
_04133_,9.24µm
reg_next_pc\[1\],9.24µm
reg_out\[31\],9.24µm
_04499_,9.23µm
_01378_,9.22µm
_03498_,9.22µm
_04002_,9.22µm
net2026,9.22µm
mem_la_addr[20],9.21µm
_02543_,9.2µm
_04842_,9.2µm
net1268,9.2µm
net2025,9.2µm
_01432_,9.185µm
_03279_,9.18µm
_03636_,9.18µm
net2001,9.18µm
net2341,9.18µm
net1094,9.17µm
_01890_,9.16µm
_01352_,9.145µm
_04632_,9.14µm
net1951,9.14µm
net2332,9.14µm
_02177_,9.12µm
net1689,9.12µm
_01936_,9.1µm
_04523_,9.1µm
mem_la_wdata[8],9.09µm
mem_rdata[3],9.09µm
_01516_,9.085µm
_03129_,9.08µm
_04376_,9.08µm
_04403_,9.08µm
net2277,9.08µm
_00033_,9.075µm
_00172_,9.075µm
net2130,9.06µm
net2368,9.06µm
_00728_,9.045µm
_01372_,9.045µm
_03172_,9.04µm
_03601_,9.04µm
_03956_,9.04µm
net58,9.04µm
net2290,9.04µm
_00149_,9.025µm
_00282_,9.025µm
_01227_,9.025µm
_01684_,9.02µm
_01925_,9.02µm
_02183_,9.02µm
_02217_,9.02µm
_02793_,9.02µm
_03917_,9.02µm
_04807_,9.02µm
net1850,9.02µm
_00706_,8.995µm
_03409_,8.98µm
_03961_,8.98µm
cpuregs\[19\]\[28\],8.98µm
net147,8.98µm
net2089,8.98µm
_02935_,8.965µm
pcpi_rs1[2],8.96µm
pcpi_rs1[7],8.96µm
net1917,8.96µm
mem_la_wdata[15],8.95µm
mem_la_wdata[31],8.95µm
mem_la_wdata[9],8.95µm
_01608_,8.945µm
_02272_,8.94µm
_03254_,8.94µm
_03633_,8.94µm
_04179_,8.94µm
net1493,8.94µm
net1743,8.94µm
net1790,8.94µm
_00704_,8.925µm
_00477_,8.915µm
_00336_,8.905µm
_00363_,8.905µm
_00407_,8.905µm
_00425_,8.905µm
_00452_,8.905µm
_00519_,8.905µm
_01198_,8.905µm
_01201_,8.905µm
_01384_,8.905µm
_02317_,8.9µm
_02972_,8.9µm
_03417_,8.9µm
_03456_,8.9µm
_03602_,8.9µm
_04732_,8.9µm
reg_out\[15\],8.9µm
net1232,8.9µm
net1587,8.9µm
net2053,8.9µm
net2311,8.9µm
_01620_,8.86µm
_02891_,8.86µm
_03420_,8.86µm
_03746_,8.86µm
_04389_,8.86µm
_04440_,8.86µm
_04604_,8.86µm
_04736_,8.86µm
net45,8.86µm
net1470,8.86µm
_00663_,8.845µm
net1854,8.84µm
net1902,8.84µm
_02074_,8.82µm
_02365_,8.82µm
_01131_,8.8µm
_04302_,8.8µm
_01249_,8.785µm
_01468_,8.785µm
_00683_,8.78µm
_02501_,8.78µm
count_instr\[47\],8.78µm
cpuregs\[16\]\[21\],8.78µm
net1412,8.78µm
net2152,8.78µm
_01883_,8.76µm
_02875_,8.76µm
_03224_,8.76µm
_03275_,8.76µm
_04889_,8.76µm
reg_out\[22\],8.76µm
net1701,8.76µm
net1737,8.76µm
net2219,8.76µm
pcpi_rs2[12],8.75µm
_00618_,8.745µm
_01947_,8.74µm
_03591_,8.74µm
cpuregs\[3\]\[29\],8.74µm
net1556,8.74µm
net1871,8.74µm
_00778_,8.725µm
_01442_,8.725µm
_01497_,8.72µm
_02067_,8.72µm
_04123_,8.72µm
net1016,8.72µm
net1017,8.72µm
net1020,8.72µm
net1032,8.72µm
net1033,8.72µm
net1034,8.72µm
net1009,8.72µm
net1036,8.72µm
net1051,8.72µm
net1053,8.72µm
net1057,8.72µm
net1058,8.72µm
net1059,8.72µm
net1041,8.72µm
net1060,8.72µm
net1063,8.72µm
net1064,8.72µm
net1069,8.72µm
net1046,8.72µm
net1048,8.72µm
net1003,8.72µm
net1630,8.72µm
_02805_,8.7µm
_00553_,8.685µm
_00997_,8.685µm
_01438_,8.685µm
_01839_,8.68µm
_03664_,8.68µm
_04153_,8.68µm
net1911,8.68µm
_04516_,8.67µm
_00604_,8.665µm
_00873_,8.665µm
_01492_,8.665µm
_02284_,8.66µm
_03351_,8.66µm
count_cycle\[9\],8.66µm
_01115_,8.645µm
net1876,8.64µm
_00861_,8.625µm
_02877_,8.62µm
_03127_,8.62µm
_03600_,8.62µm
_00372_,8.615µm
_04619_,8.615µm
_00032_,8.605µm
_03246_,8.6µm
alu_out_q\[12\],8.6µm
_01780_,8.58µm
_02985_,8.58µm
_04165_,8.58µm
_01337_,8.565µm
_01988_,8.56µm
_02749_,8.56µm
count_instr\[56\],8.56µm
cpuregs\[1\]\[1\],8.56µm
net1120,8.56µm
_01602_,8.54µm
_02888_,8.54µm
mem_la_addr[27],8.53µm
_01307_,8.525µm
_01431_,8.525µm
_01546_,8.52µm
_02996_,8.52µm
_03290_,8.52µm
_03486_,8.52µm
net1711,8.52µm
net2164,8.52µm
net2166,8.52µm
net2371,8.52µm
_03506_,8.515µm
_03548_,8.51µm
_01562_,8.5µm
_02713_,8.5µm
_03749_,8.5µm
_04415_,8.5µm
mem_la_addr[8],8.5µm
mem_la_wdata[2],8.5µm
mem_la_wdata[3],8.5µm
mem_la_wdata[4],8.5µm
pcpi_rs1[5],8.5µm
pcpi_rs2[1],8.5µm
pcpi_rs2[7],8.5µm
_00198_,8.485µm
_01395_,8.485µm
_01411_,8.485µm
_00810_,8.48µm
_03731_,8.48µm
_04317_,8.48µm
_04618_,8.48µm
net229,8.48µm
_02156_,8.46µm
_00279_,8.445µm
_00324_,8.445µm
_00478_,8.445µm
_04888_,8.445µm
_02036_,8.44µm
_03919_,8.44µm
_04023_,8.44µm
_04232_,8.44µm
_04489_,8.44µm
_04677_,8.44µm
_04715_,8.44µm
_04835_,8.44µm
net36,8.44µm
net1272,8.44µm
net1608,8.44µm
net2071,8.44µm
_01509_,8.425µm
_02619_,8.42µm
_00945_,8.405µm
_01082_,8.405µm
_01709_,8.4µm
_02898_,8.4µm
_04013_,8.4µm
net1517,8.4µm
net1584,8.4µm
net1631,8.4µm
net2094,8.4µm
net2113,8.4µm
_01938_,8.38µm
_02587_,8.38µm
net1198,8.38µm
net2022,8.38µm
_02719_,8.36µm
_03515_,8.36µm
_04114_,8.36µm
net1203,8.36µm
net2362,8.36µm
_00952_,8.34µm
_03503_,8.34µm
reg_next_pc\[21\],8.34µm
reg_out\[30\],8.34µm
net1212,8.34µm
_04668_,8.33µm
_00481_,8.325µm
_00705_,8.325µm
_01367_,8.305µm
_00166_,8.3µm
_00272_,8.3µm
_01253_,8.3µm
_03366_,8.3µm
net1649,8.3µm
net1895,8.3µm
net1916,8.3µm
_00638_,8.285µm
_01507_,8.285µm
_03666_,8.28µm
_04608_,8.28µm
cpuregs\[11\]\[0\],8.28µm
net1181,8.28µm
pcpi_rs1[12],8.27µm
pcpi_rs1[13],8.27µm
_00444_,8.265µm
_04540_,8.26µm
_04599_,8.26µm
net1220,8.26µm
net1253,8.26µm
net1267,8.26µm
net2057,8.26µm
_03557_,8.24µm
_04239_,8.24µm
reg_out\[29\],8.24µm
net2250,8.24µm
net2258,8.24µm
_00733_,8.235µm
_00145_,8.225µm
_00360_,8.225µm
_00463_,8.225µm
_00573_,8.225µm
_01092_,8.225µm
_01371_,8.225µm
_02169_,8.22µm
_04322_,8.22µm
net1223,8.22µm
_03967_,8.2µm
cpuregs\[12\]\[9\],8.2µm
cpuregs\[23\]\[31\],8.2µm
net55,8.2µm
net143,8.2µm
net159,8.2µm
net2280,8.2µm
_04655_,8.195µm
_04177_,8.18µm
_00840_,8.165µm
_01584_,8.16µm
_03839_,8.16µm
net1966,8.16µm
_00520_,8.155µm
_01960_,8.14µm
_02962_,8.14µm
_03416_,8.14µm
_03770_,8.14µm
_03800_,8.14µm
_03830_,8.14µm
_04587_,8.14µm
_00225_,8.125µm
_02068_,8.12µm
_02249_,8.12µm
_02693_,8.12µm
_03270_,8.12µm
_04785_,8.12µm
_01025_,8.105µm
_01604_,8.1µm
_02256_,8.1µm
_02558_,8.1µm
_02762_,8.1µm
_02780_,8.1µm
_02988_,8.1µm
_03231_,8.1µm
_03271_,8.1µm
_03489_,8.1µm
_04218_,8.1µm
_04388_,8.1µm
net1825,8.1µm
net2007,8.1µm
_01487_,8.095µm
_00690_,8.065µm
_00696_,8.065µm
_01033_,8.065µm
_01214_,8.065µm
_01296_,8.065µm
_02418_,8.06µm
_03693_,8.06µm
_04411_,8.06µm
net1363,8.06µm
net2128,8.06µm
_01775_,8.04µm
_04224_,8.04µm
_00559_,8.025µm
_00670_,8.025µm
_00900_,8.025µm
_01333_,8.025µm
_01796_,8.02µm
_02059_,8.02µm
_02114_,8.02µm
_04099_,8.02µm
_04304_,8.02µm
_04470_,8.02µm
_04777_,8.02µm
net1385,8.02µm
_04015_,8µm
net1186,8µm
_00526_,7.985µm
_01242_,7.985µm
_01276_,7.985µm
_01645_,7.98µm
_03000_,7.98µm
_03051_,7.98µm
_03520_,7.98µm
_03848_,7.98µm
_04453_,7.98µm
_04476_,7.98µm
_04595_,7.98µm
reg_out\[13\],7.98µm
net1938,7.98µm
_00631_,7.975µm
_00187_,7.96µm
_00943_,7.945µm
_01317_,7.945µm
_01685_,7.94µm
_02361_,7.94µm
_02606_,7.94µm
_03204_,7.94µm
_03218_,7.94µm
_04696_,7.94µm
cpu_state\[4\],7.94µm
decoded_rd\[4\],7.94µm
net1877,7.94µm
net2002,7.94µm
_00860_,7.935µm
_00148_,7.925µm
_00294_,7.925µm
_00460_,7.925µm
_00022_,7.92µm
_02947_,7.92µm
mem_rdata[16],7.91µm
_03357_,7.9µm
_03376_,7.9µm
_04281_,7.9µm
instr_addi,7.9µm
_02867_,7.88µm
_03896_,7.88µm
_03912_,7.88µm
_04139_,7.88µm
reg_out\[28\],7.88µm
net1562,7.88µm
net1699,7.88µm
net2297,7.88µm
_02048_,7.86µm
_02336_,7.86µm
_02855_,7.86µm
_03925_,7.86µm
_04789_,7.86µm
net1261,7.86µm
_00365_,7.845µm
_00403_,7.845µm
_00922_,7.845µm
_01175_,7.845µm
_03128_,7.84µm
_03130_,7.84µm
_04610_,7.84µm
net1158,7.84µm
net1389,7.84µm
net1564,7.84µm
net1648,7.84µm
net1687,7.84µm
net1990,7.84µm
net2045,7.84µm
_02421_,7.82µm
_04103_,7.82µm
